Object Name,Bounding Box,Area,Overlap Area,Percentage
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(747, 158), (982, 487)",77315,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(760, 158), (995, 488)",77550,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(771, 159), (999, 490)",75468,74879.6796875,99.22043738736947
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(771, 160), (999, 489)",75012,74879.6796875,99.82360114048419
Bia_Truc_Bach,"(778, 162), (1005, 491)",74683,74445.2265625,99.68162307687157
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(778, 160), (1006, 489)",75012,74445.2265625,99.24442297565723
Bia_Truc_Bach,"(784, 161), (1010, 490)",74354,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(790, 163), (1016, 492)",74354,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(797, 163), (1024, 494)",75137,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(804, 164), (1027, 495)",73813,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(807, 164), (1031, 497)",74592,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(811, 165), (1035, 497)",74368,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(816, 166), (1042, 497)",74806,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(821, 167), (1048, 497)",74910,0.0,0.0
Fanta,"(0, 629), (173, 720)",15743,0.0,0.0
Bia_Truc_Bach,"(826, 167), (1059, 499)",77356,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(832, 167), (1063, 500)",76923,0.0,0.0
Fanta,"(0, 631), (173, 720)",15397,0.0,0.0
Bia_Truc_Bach,"(836, 166), (1067, 500)",77154,0.0,0.0
Fanta,"(0, 631), (173, 720)",15397,0.0,0.0
Bia_Truc_Bach,"(840, 165), (1071, 498)",76923,76230.78125,99.10011472511474
Fanta,"(0, 631), (172, 720)",15308,0.0,0.0
Bia_Truc_Bach,"(841, 166), (1071, 500)",76820,76230.78125,99.23298782869044
Bia_Truc_Bach,"(845, 163), (1076, 497)",77154,0.0,0.0
Fanta,"(0, 631), (172, 720)",15308,0.0,0.0
Bia_Truc_Bach,"(848, 162), (1079, 495)",76923,76656.2109375,99.65317387192387
Fanta,"(0, 631), (173, 720)",15397,0.0,0.0
Bia_Truc_Bach,"(848, 162), (1082, 496)",78156,76656.2109375,98.08103144672195
Bia_Truc_Bach,"(852, 160), (1089, 494)",79158,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(857, 158), (1092, 492)",78490,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(861, 155), (1094, 489)",77822,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(863, 152), (1095, 488)",77952,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(866, 148), (1099, 487)",78987,0.0,0.0
Fanta,"(0, 631), (174, 720)",15486,0.0,0.0
Bia_Truc_Bach,"(867, 144), (1101, 485)",79794,0.0,0.0
Fanta,"(0, 631), (173, 720)",15397,0.0,0.0
Bia_Truc_Bach,"(868, 142), (1103, 479)",79195,0.0,0.0
Fanta,"(0, 631), (173, 720)",15397,0.0,0.0
Bia_Truc_Bach,"(868, 138), (1105, 472)",79158,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(870, 135), (1107, 468)",78921,0.0,0.0
Fanta,"(0, 631), (172, 720)",15308,0.0,0.0
Bia_Truc_Bach,"(871, 133), (1108, 464)",78447,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(872, 130), (1110, 461)",78778,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(874, 127), (1112, 457)",78540,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(873, 123), (1114, 455)",80012,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(874, 120), (1115, 453)",80253,0.0,0.0
Fanta,"(0, 631), (172, 720)",15308,0.0,0.0
Bia_Truc_Bach,"(875, 118), (1117, 450)",80344,0.0,0.0
Fanta,"(0, 631), (173, 720)",15397,0.0,0.0
Bia_Truc_Bach,"(875, 115), (1116, 449)",80494,0.0,0.0
Fanta,"(0, 631), (173, 720)",15397,0.0,0.0
Bia_Truc_Bach,"(875, 112), (1118, 447)",81405,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(875, 110), (1121, 445)",82410,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(875, 109), (1122, 442)",82251,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(875, 108), (1122, 440)",82004,0.0,0.0
Fanta,"(0, 631), (172, 720)",15308,0.0,0.0
Bia_Truc_Bach,"(875, 106), (1123, 438)",82336,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(874, 103), (1124, 436)",83250,0.0,0.0
Fanta,"(0, 630), (172, 720)",15480,0.0,0.0
Bia_Truc_Bach,"(874, 100), (1124, 434)",83500,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(875, 99), (1123, 432)",82584,0.0,0.0
Fanta,"(0, 630), (173, 720)",15570,0.0,0.0
Bia_Truc_Bach,"(876, 97), (1125, 429)",82668,0.0,0.0
Fanta,"(0, 631), (173, 720)",15397,0.0,0.0
